dataset,label,image_name,label_name,channel_list,strain,antibiotic concentration,treatment time (mins),BioRep
train,Untreated,7OCHRCCP3S.tif,7OCHRCCP3S.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,F4M5XAZLOQ.tif,F4M5XAZLOQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,YQ6S952AIV.tif,YQ6S952AIV.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,QFD3QIZ0ZV.tif,QFD3QIZ0ZV.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,VRIPQM9UIQ.tif,VRIPQM9UIQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,X5WKD2CUKG.tif,X5WKD2CUKG.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,CDU9XJPA7P.tif,CDU9XJPA7P.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,2E964IAWB6.tif,2E964IAWB6.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,HV0WAEWFTC.tif,HV0WAEWFTC.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,F8RGL449HY.tif,F8RGL449HY.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,OXFF5T5GUA.tif,OXFF5T5GUA.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,BOSEOB3EPY.tif,BOSEOB3EPY.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,152754U0B0.tif,152754U0B0.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,YK97THVA1W.tif,YK97THVA1W.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,UU4LXJVZ87.tif,UU4LXJVZ87.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,SUAX9KY2BB.tif,SUAX9KY2BB.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,6DHTRI10P2.tif,6DHTRI10P2.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,1VBZNK8519.tif,1VBZNK8519.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,A0JO5X436X.tif,A0JO5X436X.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,H0NT7WX213.tif,H0NT7WX213.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,A92TFTAVNH.tif,A92TFTAVNH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,ES2ADBPDTH.tif,ES2ADBPDTH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,RD3FOBIGV0.tif,RD3FOBIGV0.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,GVGGIQXQ4S.tif,GVGGIQXQ4S.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,MPXTD9ZRJT.tif,MPXTD9ZRJT.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,VMM9O0QUVJ.tif,VMM9O0QUVJ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,FV8G0C7FA7.tif,FV8G0C7FA7.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,KSXAA3PVUY.tif,KSXAA3PVUY.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,WAKY2T173I.tif,WAKY2T173I.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,W0SX7AT0KN.tif,W0SX7AT0KN.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,EHNEXGIYOF.tif,EHNEXGIYOF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,O8PGZZB0BS.tif,O8PGZZB0BS.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
