,user_meta5,label_save_path,mask_load_path,segmentation_curated,user_meta4,date_created,antibiotic,segmentation_channel,parent_folder,content,strain,stain_target,date_modified,file_list,image_load_path,image_laplacian,source,image_debris,folder,segmentation_file,segmented,posX,user_meta1,image_save_path,stain,user_meta6,mounting method,date_uploaded,file_name,channel_list,akseg_hash,labelled,antibiotic concentration,user_meta3,channel,num_segmentations,posY,label_curated,microscope,image_focus,treatment time (mins),user_meta2,posZ,protocol,phenotype,mask_save_path,label_load_path,user_initial,modality,dataset
29,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour0.tif,,False,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_0\multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour1.tif,False,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",bbbc0e99fed68987de9586c1c878beb51f080a7b871b4a6a9960c5702ecf6a23,False,0XEUCAST,,DAPI,13,,False,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY0_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
30,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour0.tif,,False,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_10\multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour1.tif,False,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",6ef1784299b66f125160e37c215bac8da151e62f97332c9676b612b4572476c8,False,0XEUCAST,,DAPI,5,,False,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY10_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
31,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour0.tif,,False,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_11\multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour1.tif,False,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",e7000a79213fb62dadd2115857b6810026bfba6f3ea994cf73289f58bb669ef1,False,0XEUCAST,,DAPI,6,,False,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY11_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
32,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour0.tif,,False,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_12\multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour1.tif,False,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",c9f410f8c71e1b19c03a6c8b1d430a5cc22755fe10282dec402dc2bc4dd4f4b7,False,0XEUCAST,,DAPI,6,,False,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY12_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
33,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour0.tif,,False,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_13\multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour1.tif,False,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",ba8f62120a873a20e01cbda7407656a8289ca236d2e0d38f167d0de231f39f28,False,0XEUCAST,,DAPI,10,,False,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY13_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
34,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour0.tif,,True,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_14\multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour1.tif,True,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",f8f47af4b24a98f05a3b19cf9eea8eceade03fb5bb75f6c28d341efeb32c3bb9,True,0XEUCAST,,DAPI,2,,True,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY14_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
35,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour0.tif,,True,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_15\multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour1.tif,True,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",f43b0ee6e961b2ec23da9c5f0701a3c5d162279d401645aa404b99f56655e488,True,0XEUCAST,,DAPI,5,,True,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY15_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
36,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour0.tif,,True,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_16\multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour1.tif,True,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",f7c9278c14553bee3fd8fbee68faaab180d32513b2fa12c58fd68e36638cb21e,True,0XEUCAST,,DAPI,18,,True,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY16_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
37,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour0.tif,,True,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_17\multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour1.tif,True,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",945b6efc0c7801f444230ea973bb9e032bd6592d8ffb0d01ebd33e6a82a456fe,True,0XEUCAST,,DAPI,14,,True,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY17_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
38,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour0.tif,,True,,,Untreated,Cy3,Alison,E.Coli MG1655,,Nucleoid,,"['multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour1.tif', 'multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour0.tif']",\\cmdaq4.physics.ox.ac.uk\AKGroup\Alison\20220303_multiabx_control_MG1655\ctrl1\pos_18\multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour0.tif,,405.0,,20220303_multiabx_control_MG1655,multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour1.tif,True,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Chitosan,02/10/2023 16:06,multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",dd33bdb7270e46f6c497aced1308bac2d74d0cac312204d5eee10cb1f54c2b8b,True,0XEUCAST,,DAPI,30,,True,BIO-NIM,,,,,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20220303_multiabx_control_MG1655\multiabx_control_MG1655_ctrl1_posXY18_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
