dataset,label,image_name,label_name,channel_list,strain,antibiotic concentration,treatment time (mins),BioRep
train,Untreated,I49HIJW0VL.tif,I49HIJW0VL.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,79OWA6KJDM.tif,79OWA6KJDM.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,W7KXMJXSCL.tif,W7KXMJXSCL.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,DUMF7HVW2H.tif,DUMF7HVW2H.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,O6O7RIBIRR.tif,O6O7RIBIRR.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,CB0IEP2BRC.tif,CB0IEP2BRC.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,IAHH00VVVU.tif,IAHH00VVVU.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,UPJPYGB9FF.tif,UPJPYGB9FF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,5CXBG2K05V.tif,5CXBG2K05V.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,NTHUJMWS2U.tif,NTHUJMWS2U.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,NJ29T1N12Y.tif,NJ29T1N12Y.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,YKUPQU56J6.tif,YKUPQU56J6.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,810V6YXJ0O.tif,810V6YXJ0O.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,YVB9QA5HHH.tif,YVB9QA5HHH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,OKH053AJTI.tif,OKH053AJTI.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,QJFKP2TR1E.tif,QJFKP2TR1E.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,PAXCO6RUBA.tif,PAXCO6RUBA.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,WSLBI33CDM.tif,WSLBI33CDM.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,AQWVSUZJVS.tif,AQWVSUZJVS.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,1TRPWLB4VF.tif,1TRPWLB4VF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,3UTIXJTI54.tif,3UTIXJTI54.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,6Q6JDO3MHP.tif,6Q6JDO3MHP.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,HNUC22UZ70.tif,HNUC22UZ70.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,8DYEBLISZR.tif,8DYEBLISZR.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,BESGEA8M56.tif,BESGEA8M56.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,LR7VRP99PF.tif,LR7VRP99PF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,UPR15F69LX.tif,UPR15F69LX.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,3F76ENRC9K.tif,3F76ENRC9K.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,JDU6C2QZAQ.tif,JDU6C2QZAQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,J0UFIA6C2M.tif,J0UFIA6C2M.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,NDKCT6Z53I.tif,NDKCT6Z53I.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,4YMRMSOUKQ.tif,4YMRMSOUKQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,BB8VOTZ9SE.tif,BB8VOTZ9SE.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,1B46HFQVON.tif,1B46HFQVON.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,U79EAK8YMH.tif,U79EAK8YMH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,Y2SA9K88YI.tif,Y2SA9K88YI.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,HIL8P65K8K.tif,HIL8P65K8K.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,D8N7A3GINE.tif,D8N7A3GINE.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,R478UQ6TZ6.tif,R478UQ6TZ6.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,2CF4QSUWY9.tif,2CF4QSUWY9.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,M5QC5D1CXR.tif,M5QC5D1CXR.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,53JGZGGS7G.tif,53JGZGGS7G.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,E0TJAZQX4T.tif,E0TJAZQX4T.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,1K3UKT5L2C.tif,1K3UKT5L2C.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,0Z3M9X92P0.tif,0Z3M9X92P0.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,COG2TOWOLJ.tif,COG2TOWOLJ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,,
train,Untreated,CSGARY3U3S.tif,CSGARY3U3S.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,2K6UPH16PP.tif,2K6UPH16PP.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,B48NLIQZ6D.tif,B48NLIQZ6D.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,1IL9K5WPXE.tif,1IL9K5WPXE.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,9ISYHXWKGM.tif,9ISYHXWKGM.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,D0874GX1LM.tif,D0874GX1LM.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,Y3Z71IHSSE.tif,Y3Z71IHSSE.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,EXGIMXNEBF.tif,EXGIMXNEBF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,D427VNWAF9.tif,D427VNWAF9.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,VBKQDMP7QG.tif,VBKQDMP7QG.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,4PWL4L8JJ1.tif,4PWL4L8JJ1.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,1QIPAS2Y94.tif,1QIPAS2Y94.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,65Y24ZPRMQ.tif,65Y24ZPRMQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,0AQC4O13S3.tif,0AQC4O13S3.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,ATN4KRETE4.tif,ATN4KRETE4.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,ZVWR7RXH5O.tif,ZVWR7RXH5O.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,ESD64YJFR8.tif,ESD64YJFR8.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,LL0NXG9Z3K.tif,LL0NXG9Z3K.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,IVWYQQNHW3.tif,IVWYQQNHW3.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,SSWP22TVCL.tif,SSWP22TVCL.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,F88ONI09SO.tif,F88ONI09SO.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,DF5D3H0QCI.tif,DF5D3H0QCI.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,BBBK4GND6T.tif,BBBK4GND6T.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,BE2UH2XF3E.tif,BE2UH2XF3E.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,TFVSFFOH90.tif,TFVSFFOH90.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,RA71ESFG6E.tif,RA71ESFG6E.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,BGQYRIIWPE.tif,BGQYRIIWPE.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,5IUD8C5OIR.tif,5IUD8C5OIR.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,1ET011Z556.tif,1ET011Z556.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,I9VZ84L8CN.tif,I9VZ84L8CN.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,BSUWW02TRW.tif,BSUWW02TRW.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,UJLW5F6TSY.tif,UJLW5F6TSY.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,0S0Q6J2QIH.tif,0S0Q6J2QIH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,EFO1I6R9YC.tif,EFO1I6R9YC.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,IT4TEMW6UK.tif,IT4TEMW6UK.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,3JESWIJW9Q.tif,3JESWIJW9Q.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,PZ8NL1LKR5.tif,PZ8NL1LKR5.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,9LYL8PPRN3.tif,9LYL8PPRN3.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,D5885CZFMW.tif,D5885CZFMW.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,XH4Q5P5TIJ.tif,XH4Q5P5TIJ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,NAK37P5FDW.tif,NAK37P5FDW.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,D3U1EEUQIW.tif,D3U1EEUQIW.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,2FK4WX7TJV.tif,2FK4WX7TJV.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,JV8ZX3H7MB.tif,JV8ZX3H7MB.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,YKGS1OA856.tif,YKGS1OA856.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,O1PI6OJUV3.tif,O1PI6OJUV3.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,88B4ZHWBV6.tif,88B4ZHWBV6.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,299PU1LOV2.tif,299PU1LOV2.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,1OY4IRG0GF.tif,1OY4IRG0GF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,XIOKC8EUP7.tif,XIOKC8EUP7.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,SIJWFZC1JF.tif,SIJWFZC1JF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,JCBIME524Y.tif,JCBIME524Y.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,YWZFTIWRZC.tif,YWZFTIWRZC.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,RIURBPSQJZ.tif,RIURBPSQJZ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,Z81LIIJAHQ.tif,Z81LIIJAHQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,K07XFAETHC.tif,K07XFAETHC.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,CFQ5TOYRYT.tif,CFQ5TOYRYT.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,05724LPHH5.tif,05724LPHH5.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,D4Z83JAYO7.tif,D4Z83JAYO7.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,VR50ST6KUO.tif,VR50ST6KUO.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,W4MADLPQMV.tif,W4MADLPQMV.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,GVNT98YWH8.tif,GVNT98YWH8.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,0YR801B2B5.tif,0YR801B2B5.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,W5S8R3PIOH.tif,W5S8R3PIOH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,NWLP4TR2ID.tif,NWLP4TR2ID.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,ASPAK08DHZ.tif,ASPAK08DHZ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,NAPXPMPMYB.tif,NAPXPMPMYB.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,ESX276ULNG.tif,ESX276ULNG.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,OYZN6WXHWW.tif,OYZN6WXHWW.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,P16JJ7J1MX.tif,P16JJ7J1MX.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,ZYGVC6R7CF.tif,ZYGVC6R7CF.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,PX7P1IGBGR.tif,PX7P1IGBGR.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,YN51I5WMT0.tif,YN51I5WMT0.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,62M5UF6EL2.tif,62M5UF6EL2.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,KFF9SHA9V9.tif,KFF9SHA9V9.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,0CRGKQBKSR.tif,0CRGKQBKSR.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,INBKHYMWQQ.tif,INBKHYMWQQ.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,THD3UP2K6J.tif,THD3UP2K6J.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,9I4SC5OAS7.tif,9I4SC5OAS7.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,IEAU3BEX6L.tif,IEAU3BEX6L.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,GSNP33HB22.tif,GSNP33HB22.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,VZF4XES6WH.tif,VZF4XES6WH.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,TOGRIMZ4M1.tif,TOGRIMZ4M1.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,PYKJTKUJTM.tif,PYKJTKUJTM.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,38H6ZQ1C8Z.tif,38H6ZQ1C8Z.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,O9HH5U143W.tif,O9HH5U143W.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,HNRJTI2QI3.tif,HNRJTI2QI3.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,KX9WYL7YC9.tif,KX9WYL7YC9.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,RFGSB7PAG3.tif,RFGSB7PAG3.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,05BO7GWQ5J.tif,05BO7GWQ5J.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,FHHPTI0OT2.tif,FHHPTI0OT2.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepA
train,Untreated,87ZSU7MJDE.tif,87ZSU7MJDE.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepB
train,Untreated,Y2EGEF4MQS.tif,Y2EGEF4MQS.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepB
train,Untreated,DNOH0SCLE8.tif,DNOH0SCLE8.tif,"['Cy3', 'DAPI']",MG1655,0XEUCAST,30.0,BioRepB
