Column1,user_meta5,label_save_path,mask_load_path,segmentation_curated,user_meta4,date_created,antibiotic,segmentation_channel,parent_folder,content,strain,stain_target,date_modified,file_list,image_load_path,image_laplacian,source,image_debris,folder,segmentation_file,segmented,posX,user_meta1,image_save_path,stain,user_meta6,mounting method,date_uploaded,file_name,channel_list,akseg_hash,labelled,antibiotic concentration,user_meta3,channel,num_segmentations,posY,label_curated,microscope,image_focus,treatment time (mins),user_meta2,posZ,protocol,phenotype,mask_save_path,label_load_path,user_initial,modality,dataset
767,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,532,Alison,E.Coli Clinical,,,,"['L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_0\L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour1.tif,TRUE,314.995,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour0.tif,,AMRPhenotypes,Agarose Pads,14/02/2023 11:45,L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour0.tif,"['Cy3', 'DAPI']",a8813a4ac6f4f74da815d97917c39f614e0f0dc3678a0df473ee8570cef881f3,TRUE,1XEUCAST,BioRepA,DAPI,10,0,TRUE,BIO-NIM,,30,,-536.156,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY0_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
768,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_100\L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour0.tif,TRUE,-930.705,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:47,L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",b07287e761739bbe6764a995f0253651b4f5839cfcf561316e8abde1f3f19536,TRUE,1XEUCAST,BioRepA,Cy3,25,1400.137,TRUE,BIO-NIM,,30,,-542.472,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY100_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
769,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_101\L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour0.tif,TRUE,-681.566,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:48,L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",709716d547e138093dd657bf30edf9e14463f157b509bcafe240001884035c36,TRUE,1XEUCAST,BioRepA,Cy3,32,1400.139,TRUE,BIO-NIM,,30,,-542.127,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY101_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
770,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_102\L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour0.tif,TRUE,-432.426,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:48,L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",a1346da433057f4d24ed30eced86a5b1230f5bda2640aa67ca1d8ad9efe8d138,TRUE,1XEUCAST,BioRepA,Cy3,19,1400.139,TRUE,BIO-NIM,,30,,-541.679,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY102_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
771,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_103\L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour0.tif,TRUE,-183.286,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:49,L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",02277441ea7eca472194a4a2e28179d9603d1be5831a4ab6f72ac55c0c5d2574,TRUE,1XEUCAST,BioRepA,Cy3,21,1400.139,TRUE,BIO-NIM,,30,,-541.189,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY103_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
772,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_104\L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour0.tif,TRUE,65.854,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:49,L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",71bd78643fef5fc5632df4928dc023e7ecbffaf16d865b9cf4d9439801833d48,TRUE,1XEUCAST,BioRepA,Cy3,16,1400.139,TRUE,BIO-NIM,,30,,-539.949,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY104_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
773,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_105\L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour0.tif,TRUE,314.993,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:50,L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",a435bd82eab88fadc71bc25d3d93241b081670dda21a845b1c9392bce9a04603,TRUE,1XEUCAST,BioRepA,Cy3,16,1400.139,TRUE,BIO-NIM,,30,,-540.222,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY105_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
774,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_106\L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour0.tif,TRUE,564.133,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:50,L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",10fa0339c4e4c78008f5bd41c82b4fe4c0829665932ecb0004cc8b6c67e37548,TRUE,1XEUCAST,BioRepA,Cy3,29,1400.138,TRUE,BIO-NIM,,30,,-539.603,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY106_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
775,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_107\L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour0.tif,TRUE,813.273,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:51,L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",25a8642d393f740a2c7e33298a8517010c7ff87678b025404ceac4dee2c0330f,TRUE,1XEUCAST,BioRepA,Cy3,22,1400.138,TRUE,BIO-NIM,,30,,-539.123,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY107_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
776,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20230212_L17667A\L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour0.tif,,TRUE,,,Resistant,DAPI,Alison,E.Coli Clinical,,Nucleoid,,"['L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour1.tif', 'L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour0.tif']",\\physics\dfs\DAQ\CondensedMatterGroups\AKGroup\Alison\20230212_L17667A\ciprofloxacin\pos_108\L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour0.tif,,405,,20230212_L17667A,L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour0.tif,TRUE,1062.413,L17667,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20230212_L17667A\L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour0.tif,DAPI,AMRPhenotypes,Agarose Pads,14/02/2023 15:51,L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",4d87210801095c846592a8301fe016bb9fa6682216dfd949363f6cb9fb6f82bf,TRUE,1XEUCAST,BioRepA,Cy3,26,1400.139,TRUE,BIO-NIM,,30,,-538.756,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20230212_L17667A\L17667A_ciprofloxacin_posXY108_channels_t0_posZ0_colour0.tif,,AF,Epifluorescence,train
