dataset,label,image_name,label_name,channel_list,strain,antibiotic concentration,treatment time (mins),BioRep
train,Resistant,Q0YI73T9IY.tif,Q0YI73T9IY.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,VTAGYRKT60.tif,VTAGYRKT60.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,MFD7C3PYI8.tif,MFD7C3PYI8.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,HE87QXD2FZ.tif,HE87QXD2FZ.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,NPMNXYQ16T.tif,NPMNXYQ16T.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,HCE057UHBL.tif,HCE057UHBL.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,8ACLRWVFMC.tif,8ACLRWVFMC.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,BGLZ66S5JF.tif,BGLZ66S5JF.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,ZOKVIIWAJ0.tif,ZOKVIIWAJ0.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,ZM4W5ABPTY.tif,ZM4W5ABPTY.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,GV2JATE126.tif,GV2JATE126.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,UUQF319FO7.tif,UUQF319FO7.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
train,Resistant,PGQBCHBWSD.tif,PGQBCHBWSD.tif,"['Cy3', 'DAPI']",R2,20XEUCAST,30.0,BioRepB
