,user_meta5,label_save_path,mask_load_path,segmentation_curated,user_meta4,date_created,antibiotic,segmentation_channel,parent_folder,content,strain,stain_target,date_modified,file_list,image_load_path,image_laplacian,source,image_debris,folder,segmentation_file,segmented,posX,user_meta1,image_save_path,stain,user_meta6,mounting method,date_uploaded,file_name,channel_list,akseg_hash,labelled,antibiotic concentration,user_meta3,channel,num_segmentations,posY,label_curated,microscope,image_focus,treatment time (mins),user_meta2,posZ,protocol,phenotype,mask_save_path,label_load_path,user_initial,modality,dataset
3056,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour1.tif,,False,,58:27.8,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:27.8,"['clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_0\clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour1.tif,598799.4331,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour0.tif,True,-1080.582,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",e6d697a2243c70db0b3d67e737aca0114a0befa16521d0f2c64b719bcf38c454,True,20XEUCAST,BioRepB,DAPI,20,1542.118,False,BIO-NIM,,30.0,SensResModel,-244.568,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY0_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3057,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour1.tif,,False,,58:27.8,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:27.8,"['clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_1\clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour1.tif,227149.3987,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour0.tif,True,-1080.575,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",83ff46bfc7eeeac0d19857799c726d29a18ea1f39c5ae1f8482b48ba87d7790b,True,20XEUCAST,BioRepB,DAPI,8,1822.146,False,BIO-NIM,,30.0,SensResModel,-246.043,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY1_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3058,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour1.tif,,False,,58:27.6,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:27.6,"['clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_2\clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour1.tif,295211.4858,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour0.tif,True,-1329.724,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",85224ea2d45f95c1090920d6e8ff716b95d40cc5c9c71c2859e7165130a9ee7e,True,20XEUCAST,BioRepB,DAPI,8,1822.146,False,BIO-NIM,,30.0,SensResModel,-246.006,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY2_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3059,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour1.tif,,False,,58:27.8,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:27.8,"['clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_3\clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour1.tif,143724.5185,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour0.tif,True,-1329.723,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",bf01c5a3cf5307fcea016a0b897ff8f88c58325a353a2db614b140468566133c,True,20XEUCAST,BioRepB,DAPI,3,1542.114,False,BIO-NIM,,30.0,SensResModel,-244.543,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY3_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3060,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour1.tif,,False,,58:28.3,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:28.3,"['clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_4\clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour1.tif,165279.0945,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour0.tif,True,-1329.729,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",d3d17b5fc08b292fbdc8e863d562bfc79d989c48b49fef606e8bbe1bb2121024,True,20XEUCAST,BioRepB,DAPI,3,1262.082,False,BIO-NIM,,30.0,SensResModel,-243.14,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY4_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3061,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour1.tif,,False,,58:28.4,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:28.4,"['clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_5\clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour1.tif,405874.4711,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour0.tif,True,-1080.576,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",3d2b36b0acbc35ef01b7ce4a22928f94370d27297aca338980eecce245b8a1f4,True,20XEUCAST,BioRepB,DAPI,17,1262.086,False,BIO-NIM,,30.0,SensResModel,-243.96,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY5_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3062,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour1.tif,,False,,58:28.4,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:28.4,"['clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_6\clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour1.tif,147766.3568,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour0.tif,True,-831.436,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",f123c836f530617216871898cbc0d552e45575cf01cb1ccfa2653c07a1e74a18,True,20XEUCAST,BioRepB,DAPI,2,1262.083,False,BIO-NIM,,30.0,SensResModel,-244.269,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY6_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3063,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour1.tif,,False,,58:28.5,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:28.5,"['clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_7\clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour1.tif,191202.1832,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour0.tif,True,-831.447,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",3286a279eece91aa488c97858ab7210e739b346de837f700dda0e079f98b213f,True,20XEUCAST,BioRepB,DAPI,4,1542.125,False,BIO-NIM,,30.0,SensResModel,-245.762,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY7_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3064,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour1.tif,,False,,58:29.3,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:29.3,"['clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_8\clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour1.tif,155176.4882,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour0.tif,True,-831.438,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",720bd3224a7b058390045f7b19a3d082698b8a3dc9c62c881714f490bffdce53,True,20XEUCAST,BioRepB,DAPI,2,1822.147,False,BIO-NIM,,30.0,SensResModel,-247.124,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY8_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
3065,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\labels\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour1.tif,,False,,58:29.4,Resistant,Cy3,Alison2,E.Coli Clinical,L60725,Nucleoid,58:29.4,"['clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour0.tif', 'clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour1.tif']",Z:\Alison2\20240325_clinicalisolates_10X\L60B\pos_9\clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour1.tif,310679.6249,405.0,,20240325_clinicalisolates_10X,clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour0.tif,True,-831.44,L60725,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\images\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour1.tif,DAPI,AMRPhenotypes,Agarose,09/04/2024 13:58,clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour1.tif,"['Cy3', 'DAPI']",87363c72e8df0843f7cff7f070c670f5c24c1cbd56d3ef7fd81e7581dca91571,True,20XEUCAST,BioRepB,DAPI,13,2102.166,False,BIO-NIM,,30.0,SensResModel,-248.421,,,\\cmdaq6.nat.physics.ox.ac.uk\AKGroup\Piers_2\BacSeg Database\Images\AF\masks\20240325_clinicalisolates_10X\clinicalisolates_10X_L60B_posXY9_channels_t0_posZ0_colour1.tif,,AF,Epifluorescence,train
